metric_key,metric_value
seed_1_memory_mse,2.409651
seed_2_memory_mse,2.435084
seed_3_memory_mse,3.582958
seed_4_memory_mse,2.389128
seed_5_memory_mse,5.465768
seed_6_memory_mse,1.616079
seed_7_memory_mse,0.908907
seed_8_memory_mse,4.787818
